fips,architecture,n_addresses,tract_svi,constraint_error,pre_correction_constraint_error,spatial_std,morans_i,bg_r,n_bgs,runtime_s,failure
47065011324,sage,18,0.0374,2e-08,2e-08,0.018232,0.239487,,1,8.94,
47065000700,sage,1784,0.1141,1e-08,2e-08,0.109028,0.955502,-0.5304783323318489,4,38.89,
47065011447,sage,853,0.165,2e-08,4e-08,0.036953,0.875917,0.2955199378314678,4,34.8,
47065011325,sage,1099,0.1713,5e-08,5e-08,0.034088,0.718239,-0.0006824858568691302,3,34.63,
47065000600,sage,2089,0.2235,4e-08,5e-08,0.076498,0.941525,-0.5145248087711828,3,41.44,
47065011413,sage,1442,0.2735,3e-08,3e-08,0.08332,0.891734,-0.4427377349607819,5,36.95,
47065011900,sage,348,0.2822,1e-08,1e-08,0.036614,0.776571,1.0,2,31.49,
47065010431,sage,3394,0.3848,1e-08,2e-08,0.109716,0.986307,0.6239520486180993,5,49.49,
47065010433,sage,2307,0.454,1e-08,3e-08,0.069855,0.920631,-0.7264600004433935,4,41.54,
47065011326,sage,2738,0.5102,1e-08,2e-08,0.026486,0.934108,-0.7493835454498521,3,44.3,
47065001800,sage,1411,0.5471,8e-08,1.3e-07,0.022571,0.83224,-1.0,2,37.04,
47065011402,sage,2858,0.5759,2e-08,2e-08,0.024116,0.908291,-0.19651517673413368,4,45.21,
47065011321,sage,3756,0.6955,0.0,4e-08,0.080033,0.630663,-0.3227997643456569,4,50.2,
47065011444,sage,1934,0.7088,8e-08,8e-08,0.111673,0.966128,-1.0,2,39.67,
47065010435,sage,2780,0.7153,5e-08,8e-08,0.100259,0.963785,-0.5378836590345225,4,44.46,
47065011311,sage,2358,0.7464,4e-08,0.0,0.083234,0.923075,-0.5247465667375342,6,43.18,
47065003400,sage,2559,0.8797,4e-08,1e-08,0.048808,1.161817,-0.9675363672996481,3,39.42,
47065002400,sage,1918,0.8912,3e-08,1e-08,0.042665,0.932771,-0.09372782162142303,4,43.34,
47065001200,sage,1420,0.9066,2e-08,6e-08,0.044984,0.79555,-0.9503420511665899,3,34.39,
47065001900,sage,2469,0.9804,4e-08,9e-08,0.030581,0.983105,-0.7862056558222753,3,41.41,
47065011324,gcn_gat,18,0.0374,0.0,0.0,0.04061,0.0002,,1,8.94,
47065000700,gcn_gat,1784,0.1141,4e-08,4e-08,0.062221,0.953994,-0.24201537609118506,4,37.32,
47065011447,gcn_gat,853,0.165,1e-08,1e-08,0.111584,0.979426,-0.4190759692541779,4,32.55,
47065011325,gcn_gat,1099,0.1713,9e-08,8e-08,0.077243,0.926156,0.9560789190517707,3,33.11,
47065000600,gcn_gat,2089,0.2235,1e-08,2e-08,0.080521,0.941381,-0.7704445882694018,3,37.49,
47065011413,gcn_gat,1442,0.2735,4e-08,3e-08,0.094147,0.934076,-0.446801622751387,5,34.71,
47065011900,gcn_gat,348,0.2822,4e-08,2e-08,0.076919,0.762891,1.0,2,28.98,
47065010431,gcn_gat,3394,0.3848,4e-08,1e-08,0.10918,0.980916,0.4567637763058538,5,45.76,
47065010433,gcn_gat,2307,0.454,0.0,3e-08,0.084905,0.829351,0.430849181532778,4,39.48,
47065011326,gcn_gat,2738,0.5102,1e-08,2e-08,0.111518,0.961589,-0.6650156635318892,3,41.3,
47065001800,gcn_gat,1411,0.5471,3e-08,1e-08,0.10412,0.933577,-1.0,2,34.04,
47065011402,gcn_gat,2858,0.5759,2e-08,4e-08,0.105366,0.966086,0.9813497485610438,4,42.56,
47065011321,gcn_gat,3756,0.6955,2e-08,4e-08,0.10564,0.730782,-0.031688121533515204,4,47.54,
47065011444,gcn_gat,1934,0.7088,0.0,4e-08,0.122958,0.944501,1.0,2,39.11,
47065010435,gcn_gat,2780,0.7153,1e-08,4e-08,0.10622,0.966687,-0.6069978076527548,4,42.46,
47065011311,gcn_gat,2358,0.7464,5e-08,0.0,0.075525,0.95814,-0.49160834407479603,6,43.24,
47065003400,gcn_gat,2559,0.8797,7e-08,1e-08,0.059493,0.242232,0.9110743776220958,3,39.56,
47065002400,gcn_gat,1918,0.8912,1e-08,5e-08,0.04369,0.901829,0.10322041154531839,4,42.95,
47065001200,gcn_gat,1420,0.9066,2e-08,6e-08,0.059184,0.959198,-0.783499043115252,3,35.94,
47065001900,gcn_gat,2469,0.9804,6e-08,1.5e-07,0.028162,0.966526,0.9698246799377607,3,41.61,
